Chemical Name,Measure Names,Measure Values
Valaciclovir,Total Items,25840.00
Vaginal PH Correction Products,Total Items,17314.00
Vaginal Moisturisers,Total Items,232686.00
Vaginal Dilators,Total Items,3314.00
Vacuum Pumps for Erectile Dysfunction,Total Items,13470.00
Ustekinumab (Psoriasis),Total Items,2.00
Ursodeoxycholic Acid,Total Items,251389.00
Urostomy Bags,Total Items,109402.00
Urofollitropin,Total Items,11.00
Urine Testing Reagents,Total Items,127432.00
Urinal Systems,Total Items,15697.00
Urea Hydrogen Peroxide,Total Items,45628.00
Urea,Total Items,582311.00
Undecenoates,Total Items,3754.00
Umeclidinium Brom/Vilanterol,Total Items,49528.00
Umeclidinium Brom,Total Items,50284.00
Ulipristal Acetate (Emergency Cont),Total Items,30621.00
Ulipristal Acet,Total Items,9228.00
Typhoid,Total Items,708737.00
Two Piece Ostomy Systems,Total Items,315065.00
Turpentine Oil,Total Items,258.00
Tubing And Accessories,Total Items,194208.00
Tubing & Accessories,Total Items,3695.00
Tryptophan,Total Items,2147.00
Trusses,Total Items,3595.00
Trospium Chloride,Total Items,322690.00
Tropicamide,Total Items,1893.00
Triptorelin Embonate,Total Items,7303.00
Triptorelin Acetate,Total Items,57996.00
Tripotassium Dicitratobismuthate,Total Items,7243.00
Trimipramine Maleate,Total Items,73374.00
Trimethoprim,Total Items,3710532.00
Trimetazidine Hydrochloride,Total Items,510.00
Trihexyphenidyl Hydrochloride,Total Items,109324.00
Trifluridine (Antivirals),Total Items,3.00
Trifluoperazine,Total Items,66102.00
Trientine Dihydrochloride,Total Items,568.00
Triclosan,Total Items,3104.00
Triamterene With Thiazides,Total Items,1539.00
Triamterene With Loop Diuretics,Total Items,7024.00
Triamterene,Total Items,961.00
Triamcinolone Hexacetonide,Total Items,264.00
Triamcinolone Acetonide,Total Items,305341.00
Tretinoin,Total Items,142.00
Trazodone Hydrochloride,Total Items,1069083.00
Travoprost,Total Items,585894.00
Trastuzumab,Total Items,1.00
Tranylcypromine Sulfate,Total Items,8457.00
Tranexamic Acid,Total Items,408494.00
Trandolapril + Calcium Channel Blocker,Total Items,24.00
Trandolapril,Total Items,125734.00
Tramadol Hydrochloride,Total Items,7514739.00
Tracheostomy & Laryngectomy Appliances,Total Items,107016.00
Toremifene Citrate,Total Items,237.00
Torasemide,Total Items,19830.00
Topotecan,Total Items,1.00
Topiramate,Total Items,722865.00
Tolvaptan,Total Items,306.00
Tolterodine,Total Items,1215987.00
Tolnaftate,Total Items,204.00
Tolfenamic Acid,Total Items,7724.00
Tolcapone,Total Items,1364.00
Tolbutamide,Total Items,47233.00
Tocopheryl Acetate,Total Items,17142.00
Tocofersolan,Total Items,239.00
Tocilizumab,Total Items,17.00
Tobramycin,Total Items,2613.00
Tizanidine Hydrochloride,Total Items,113180.00
Tiotropium Brom/Olodaterol,Total Items,1166.00
Tiotropium,Total Items,4916820.00
Tiopronin,Total Items,61.00
Tioguanine,Total Items,114.00
Tioconazole,Total Items,40850.00
Tinzaparin Sodium,Total Items,66233.00
Tinidazole,Total Items,2081.00
Timolol With Diuretic,Total Items,1521.00
Timolol & Travoprost,Total Items,223299.00
Timolol & Brimonidine,Total Items,89214.00
Timolol & Bimatoprost,Total Items,703045.00
Timolol,Total Items,548147.00
Tigecycline,Total Items,4.00
Ticlopidine Hydrochloride,Total Items,27.00
Tick-Borne Encephalitis Vaccine,Total Items,42.00
Ticagrelor,Total Items,367405.00
Tibolone,Total Items,176901.00
Tiaprofenic Acid,Total Items,2147.00
Tiagabine,Total Items,2513.00
Thyrotropin Alfa,Total Items,4.00
Thymol,Total Items,1.00
Thioridazine,Total Items,250.00
Thiamine Hydrochloride,Total Items,2439019.00
Theophylline,Total Items,534086.00
Thalidomide (Immunomodulating),Total Items,39.00
Thalidomide (Antileprotic),Total Items,25.00
Tetracycline,Total Items,37746.00
Tetracosactide,Total Items,339.00
Tetracaine Hydrochloride,Total Items,922.00
Tetracaine,Total Items,15544.00
Tetrabenazine,Total Items,31335.00
Tetanus Immunoglobulin,Total Items,23.00
Testosterone Undecanoate,Total Items,115939.00
Testosterone Propionate,Total Items,35.00
Testosterone Esters,Total Items,31857.00
Testosterone Enantate,Total Items,7943.00
Testosterone,Total Items,200052.00
Terpin Hydrate,Total Items,77.00
Teriparatide,Total Items,716.00
Terbutaline Sulphate,Total Items,694950.00
Terbinafine Hydrochloride,Total Items,780674.00
Terazosin Hydrochloride,Total Items,113329.00
Tenoxicam,Total Items,3020.00
Tenofovir Disoproxil,Total Items,1512.00
Temocillin Sodium,Total Items,4.00
Temazepam,Total Items,1411142.00
Telmisartan with Diuretic,Total Items,52116.00
Telmisartan,Total Items,374380.00
Telithromycin,Total Items,1.00
Telbivudine,Total Items,1.00
Teicoplanin,Total Items,3293.00
Tazarotene,Total Items,2337.00
Taurolidine,Total Items,2.00
Taurine,Total Items,1907.00
Tars,Total Items,73636.00
Tapentadol Hydrochloride,Total Items,86820.00
Tamsulosin Hydrochloride,Total Items,5948608.00
Tamsulosin & Dutasteride Hydrochloride,Total Items,193576.00
Tamoxifen Citrate,Total Items,657879.00
Talc Purified,Total Items,3.00
Tafluprost & Timolol,Total Items,287.00
Tafluprost,Total Items,108681.00
Tadalafil (Vasodilator Antihypertensive),Total Items,13.00
Tadalafil,Total Items,801240.00
Tacrolimus,Total Items,295703.00
Tacalcitol,Total Items,12182.00
Swabs,Total Items,439824.00
Suspensory Systems,Total Items,7526.00
Surgical Sutures,Total Items,101269.00
Surgical Adhesive Tape,Total Items,514703.00
Sumatriptan Succinate,Total Items,1450254.00
Sultiame,Total Items,350.00
Sulpiride,Total Items,152586.00
Sulindac,Total Items,2646.00
Sulfur,Total Items,226.00
Sulfinpyrazone,Total Items,6573.00
Sulfasalazine,Total Items,828749.00
Sulfapyridine,Total Items,47.00
Sulfamethoxypyridazine,Total Items,1.00
Sulfadiazine,Total Items,1155.00
Sucroferric Oxyhydroxide,Total Items,32.00
Sucrase,Total Items,59.00
Sucralfate,Total Items,10716.00
Strontium Ranelate,Total Items,80584.00
Streptokinase,Total Items,1.00
Stoma Caps/Dressings,Total Items,16453.00
Stockinette,Total Items,895831.00
Stiripentol,Total Items,2055.00
Sterile Water,Total Items,2105.00
Sterculia,Total Items,72163.00
Ster Larvae,Total Items,950.00
Stanozolol,Total Items,199.00
Squill,Total Items,608.00
Spironolactone With Thiazides,Total Items,36.00
Spironolactone With Loop Diuretics,Total Items,5938.00
Spironolactone,Total Items,2508041.00
Sotalol Hydrochloride,Total Items,610057.00
Sorafenib,Total Items,4.00
Somatropin,Total Items,60812.00
Solvent Ether,Total Items,3.00
Soluble Insulin (Neutral Insulin),Total Items,59048.00
Solifenacin/Tamsulosin,Total Items,25149.00
Solifenacin,Total Items,2383060.00
Soft Soap,Total Items,13.00
Sofosbuvir,Total Items,1.00
Sodium Valproate,Total Items,2613835.00
Sodium Tetradecyl Sulphate,Total Items,29.00
Sodium Polystyrene Sulfonate,Total Items,266.00
Sodium Picosulfate,Total Items,141670.00
Sodium Phenylbutyrate,Total Items,319.00
Sodium Oxybate,Total Items,1161.00
Sodium Lactate,Total Items,12.00
Sodium Hypochlorite,Total Items,564.00
Sodium Fusidate,Total Items,70180.00
Sodium Fluoride,Total Items,133973.00
Sodium Feredetate,Total Items,196432.00
Sodium Dihydrogen Phosphate Dihydrate,Total Items,392.00
Sodium Cromoglicate,Total Items,1208324.00
Sodium Clodronate,Total Items,19761.00
Sodium Citrate (Rectal),Total Items,106700.00
Sodium Citrate,Total Items,2056.00
Sodium Chloride,Total Items,300212.00
Sodium Bicarbonate,Total Items,385644.00
Sodium Benzoate,Total Items,1573.00
Sodium Aurothiomalate,Total Items,5433.00
Skin Protectors,Total Items,146220.00
Skin Protectives Fillers & Cleansers,Total Items,4702.00
Skin Fillers And Protectives,Total Items,2493068.00
Skin Closure Strips  Sterile,Total Items,38949.00
Skin Adhesive  Sterile,Total Items,2483.00
Sitagliptin,Total Items,2313113.00
Sirolimus,Total Items,10869.00
Simvastatin & Ezetimibe,Total Items,35844.00
Simvastatin,Total Items,34277927.00
Simple,Total Items,398804.00
Simeticone,Total Items,62438.00
Simeprevir,Total Items,1.00
Silver Sulfadiazine,Total Items,55713.00
Silver Nitrate,Total Items,15188.00
Silk Garments,Total Items,25045.00
Sildenafil(Vasodilator Antihypertensive),Total Items,2707.00
Sildenafil (Erectile Dysfunction),Total Items,2531746.00
Sibutramine,Total Items,2.00
Shingles (H/Z),Total Items,9745.00
Sevelamer,Total Items,76747.00
Sertraline Hydrochloride,Total Items,9335456.00
Senna,Total Items,3737824.00
Selenium Sulfide,Total Items,74566.00
Selenium,Total Items,1081.00
Selegiline Hydrochloride,Total Items,43736.00
Secobarbital Sodium,Total Items,2581.00
Saxagliptin/Metformin,Total Items,9958.00
Saxagliptin,Total Items,343334.00
Saquinavir Mesylate,Total Items,1.00
Salmeterol,Total Items,748101.00
Salicylic Acid,Total Items,306434.00
Salbutamol,Total Items,21806194.00
Sacrosidase,Total Items,33.00
Ruxolitinib,Total Items,5.00
Rutosides,Total Items,24105.00
Rupatadine Fumarate,Total Items,4040.00
Rufinamide,Total Items,11393.00
Rotigotine,Total Items,104432.00
Rotavirus,Total Items,79.00
Rosuvastatin Calcium,Total Items,1879828.00
Rosiglitazone,Total Items,3.00
Ropinirole Hydrochloride,Total Items,561106.00
Romiplostim,Total Items,2.00
Roflumilast,Total Items,2610.00
Rofecoxib,Total Items,1.00
Rizatriptan,Total Items,301837.00
Rivastigmine,Total Items,337950.00
Rivaroxaban,Total Items,1527599.00
Rituximab,Total Items,14.00
Ritonavir,Total Items,87.00
Risperidone,Total Items,1643571.00
Risedronate Sodium,Total Items,713900.00
Rimexolone,Total Items,19433.00
Riluzole,Total Items,18669.00
Rifaximin,Total Items,21765.00
Rifampicin Combined Preparations,Total Items,3138.00
Rifampicin,Total Items,23623.00
Rifabutin,Total Items,302.00
Riboflavin,Total Items,2200.00
Ribavirin,Total Items,186.00
Retigabine,Total Items,1768.00
Retapamulin,Total Items,1683.00
Repaglinide,Total Items,73813.00
Remifentanil Hydrochloride,Total Items,1.00
Reboxetine,Total Items,31610.00
Rasagiline Mesilate,Total Items,179907.00
Ranolazine,Total Items,184463.00
Ranitidine Hydrochloride,Total Items,4609666.00
Ranibizumab,Total Items,1.00
Ramipril with Calcium Channel Blocker,Total Items,10950.00
Ramipril,Total Items,26641564.00
Raltegravir,Total Items,92.00
Raloxifene Hydrochloride,Total Items,71328.00
Racecadotril,Total Items,20.00
Rabies Immunoglobulin,Total Items,2.00
Rabies,Total Items,3007.00
Rabeprazole Sodium,Total Items,379331.00
Quinine Sulfate,Total Items,3098237.00
Quinine Hydrochloride,Total Items,1.00
Quinine Bisulfate,Total Items,594234.00
Quinidine Sulfate,Total Items,102.00
Quinapril Hydrochloride with Diuretic,Total Items,3713.00
Quinapril Hydrochloride,Total Items,103426.00
Quinagolide Hydrochloride,Total Items,5534.00
Quetiapine,Total Items,2709940.00
Pyrimethamine,Total Items,134.00
Pyridoxine Hydrochloride,Total Items,113623.00
Pyridostigmine Bromide,Total Items,60162.00
Pyrazinamide,Total Items,260.00
Pseudoephedrine Hydrochloride,Total Items,136152.00
Pseudoephedrine HCl/Dextrometh Hydrob,Total Items,46.00
Pseudoephedrine HCl Combinations,Total Items,155.00
Prucalopride,Total Items,60511.00
Proxymetacaine Hydrochloride,Total Items,1260.00
Protamine Zinc Insulin,Total Items,320.00
Prosthetic Adhesives,Total Items,120.00
Propylthiouracil,Total Items,39642.00
Propranolol Hydrochloride,Total Items,4329565.00
Propiverine Hydrochloride,Total Items,44785.00
Propantheline Bromide,Total Items,48160.00
Propamidine Isetionate,Total Items,1341.00
Propafenone Hydrochloride,Total Items,23907.00
Promethazine Teoclate,Total Items,24405.00
Promethazine Hydrochloride,Total Items,721929.00
Promazine Hydrochloride,Total Items,99938.00
Proguanil Hydrochloride With Atovaquone,Total Items,3980.00
Proguanil Hydrochloride,Total Items,194.00
Progesterone,Total Items,42638.00
Proflavine Hemisulphate,Total Items,2.00
Proflavine,Total Items,1.00
Procyclidine Hydrochloride,Total Items,863415.00
Prochlorperazine Mesilate,Total Items,23865.00
Prochlorperazine Maleate,Total Items,1740252.00
Procainamide Hydrochloride,Total Items,7.00
Probenecid,Total Items,1250.00
Pristinamycin,Total Items,7.00
Primidone,Total Items,141884.00
Primaquine,Total Items,5.00
Prilocaine Hydrochloride,Total Items,542.00
Pressure Plates/Shields,Total Items,3253.00
Prep's For Other Vaginal Infections,Total Items,1.00
Pregabalin,Total Items,4753285.00
Prednisone,Total Items,1688.00
Prednisolone Sodium Phosphate,Total Items,70601.00
Prednisolone Sodium Metasulphobenzoate,Total Items,25086.00
Prednisolone Acetate,Total Items,120368.00
Prednisolone,Total Items,7416381.00
Prazosin Hydrochloride,Total Items,57528.00
Praziquantel,Total Items,142.00
Pravastatin Sodium,Total Items,2843924.00
Prasugrel,Total Items,86392.00
Prasterone,Total Items,328.00
Pramipexole,Total Items,393984.00
Powdered Opium,Total Items,3.00
Povidone-Iodine,Total Items,3.00
Povidone K 25,Total Items,7.00
Povidone Iodine,Total Items,64.00
Potassium Permanganate,Total Items,15233.00
Potassium Iodate,Total Items,6.00
Potassium Citrate,Total Items,26471.00
Potassium Chloride,Total Items,109598.00
Potassium Bicarbonate,Total Items,1408.00
Posaconazole,Total Items,306.00
Pomalidomide,Total Items,9.00
Polyvinyl Alcohol,Total Items,365547.00
Polysaccharide-Iron Complex,Total Items,64.00
Polymyxins,Total Items,11366.00
Polymyxin B Sulphate,Total Items,1.00
Pollen Allergy Preparations,Total Items,2227.00
Polihexanide,Total Items,38.00
Policosanol,Total Items,17.00
Podophyllum Resin,Total Items,11.00
Podophyllotoxin,Total Items,8953.00
Pneumococcal,Total Items,620240.00
Plasters,Total Items,7527.00
Plantar Pressure Offloading Device,Total Items,32051.00
Pizotifen Malate,Total Items,553253.00
Pivmecillinam Hydrochloride,Total Items,74035.00
Piroxicam,Total Items,720880.00
Pirfenidone,Total Items,15.00
Pirenzepine,Total Items,1128.00
Piracetam,Total Items,8620.00
Pipotiazine Palmitate,Total Items,2943.00
Pipobroman,Total Items,1.00
Piperazine,Total Items,6.00
Piperacillin Sodium/Tazobactam Sodium,Total Items,1188.00
Pioglitazone Hydrochloride,Total Items,1058476.00
Pindolol With Diuretic,Total Items,3.00
Pindolol,Total Items,6170.00
Pimozide,Total Items,4194.00
Pimecrolimus,Total Items,29901.00
Pilocarpine Nitrate,Total Items,6488.00
Pilocarpine Hydrochloride,Total Items,64683.00
Phytomenadione,Total Items,14434.00
Physical Debridement Device,Total Items,44405.00
Phosphates (Rectal),Total Items,59914.00
Pholcodine,Total Items,251484.00
Phenytoin Sodium,Total Items,844665.00
Phenytoin,Total Items,33291.00
Phenylephrine Hydrochloride,Total Items,968.00
Phenylbutazone,Total Items,170.00
Phentolamine/Aviptadil,Total Items,9.00
Phenprocoumon,Total Items,8.00
Phenoxymethylpenicillin (Penicillin V),Total Items,2265974.00
Phenoxybenzamine Hydrochloride,Total Items,936.00
Phenothrin,Total Items,3.00
Phenolphthalein & Rhubarb,Total Items,14.00
Phenol,Total Items,845.00
Phenobarbital Sod,Total Items,385.00
Phenobarbital,Total Items,225468.00
Phenindione,Total Items,1480.00
Phenelzine Sulfate,Total Items,17227.00
Phased Formulations Of Ethinylestradiol,Total Items,94405.00
Pethidine Hydrochloride,Total Items,31162.00
Perphenazine,Total Items,457.00
Permethrin,Total Items,178689.00
Perindopril Tosilate/Indapamide,Total Items,171.00
Perindopril Tosilate,Total Items,871.00
Perindopril Erbumine with Diuretic,Total Items,68.00
Perindopril Erbumine,Total Items,5034393.00
Perindopril Arginine with Diuretic,Total Items,85316.00
Perindopril Arginine,Total Items,54369.00
Perindopril + Calcium Channel Blocker,Total Items,1025.00
Pericyazine,Total Items,57452.00
Pergolide Mesilate,Total Items,2519.00
Perampanel,Total Items,22351.00
Peppermint Oil,Total Items,566345.00
Pentoxifylline,Total Items,29397.00
Pentosan Polysulfate Sodium,Total Items,488.00
Pentazocine Lactate,Total Items,1.00
Pentazocine Hydrochloride,Total Items,2787.00
Pentamidine Isetionate,Total Items,24.00
Penicillamine,Total Items,11954.00
Penciclovir,Total Items,2845.00
Pelvic Toning Devices,Total Items,1723.00
Pegvisomant,Total Items,10.00
Peginterferon Alpha,Total Items,134.00
Pegfilgrastim,Total Items,1.00
Peak Flow Meters,Total Items,217212.00
Pazopanib,Total Items,8.00
Pasireotide,Total Items,1.00
Paroxetine Hydrochloride,Total Items,1459628.00
Paromomycin Sulfate,Total Items,13.00
Paricalcitol,Total Items,972.00
Parecoxib Sodium,Total Items,15.00
Paraldehyde,Total Items,1065.00
Paraffin Yellow Soft,Total Items,39111.00
Paraffin Soft Yellow,Total Items,5224.00
Paraffin Soft White,Total Items,28438.00
Paraffin Hard,Total Items,158.00
Paracetamol Combined Preparations,Total Items,5704.00
Paracetamol & Phenylephrine HCl,Total Items,57.00
Paracetamol & Ibuprofen,Total Items,274.00
Paracetamol & Caffeine,Total Items,171.00
Paracetamol,Total Items,22711799.00
Papaverine Hydrochloride,Total Items,54.00
Papaveretum,Total Items,3.00
Pantoprazole,Total Items,1101839.00
Pancreatin,Total Items,454530.00
Pamidronate Disodium,Total Items,19.00
Palonosetron Hydrochloride,Total Items,1.00
Palivizumab,Total Items,53.00
Paliperidone,Total Items,8382.00
Padimate O,Total Items,9.00
Oxytocin,Total Items,3.00
Oxytetracycline,Total Items,539930.00
Oxymetholone,Total Items,3.00
Oxymetazoline Hydrochloride,Total Items,6.00
Oxycodone Hydrochloride,Total Items,1409169.00
Oxycodone HCl/Naloxone HCl,Total Items,75214.00
Oxybutynin Hydrochloride,Total Items,25.00
Oxybutynin,Total Items,1717110.00
Oxybuprocaine Hydrochloride,Total Items,360.00
Oxprenolol Hydrochloride,Total Items,9070.00
Oxitriptan,Total Items,47.00
Oxcarbazepine,Total Items,86705.00
Oxazepam,Total Items,113110.00
Oxandrolone,Total Items,59.00
Other Zinc Preps,Total Items,765.00
Other X-Ray Contrast Media Preps,Total Items,64.00
Other Vitamin Formulation Preps,Total Items,5.00
Other Vitamin E Preps 0906050,Total Items,1634.00
Other Vitamin D Preps,Total Items,5.00
Other Vitamin C & Bioflavonoid Preps,Total Items,47.00
Other Vitamin C (Ascorbic Acid) Preps,Total Items,754.00
Other Vitamin B Preps,Total Items,3011.00
Other Vitamin B Compound Preps,Total Items,4914.00
Other Vitamin A Preps 0906011,Total Items,569.00
Other Vehicle & Emulsifying Agent Preps,Total Items,7.00
Other Urological Pain Preps,Total Items,299.00
Other Treatment of Dry Mouth Preps,Total Items,65387.00
Other Topical Nasal Decongestant Preps,Total Items,356.00
Other Topical Circulatory Preps,Total Items,44.00
Other Top Anaesthetic&Antipruritic Preps,Total Items,18.00
Other Toiletry Preps,Total Items,338357.00
Other Tincture Preps,Total Items,35.00
Other Test For Helicobacter Pylori Preps,Total Items,14096.00
Other Syrup Preps,Total Items,18.00
Other Sunscreening Preps,Total Items,113860.00
Other Stimulant Laxative Preps,Total Items,1816.00
Other Soothing Haemorrhoidal Preps,Total Items,3751.00
Other Single Substance Preps,Total Items,3841.00
Other Shampoo & Scalp Preps,Total Items,138.00
Other Selenium Preps,Total Items,4470.00
Other Rubefacient&Top AntirheumaticPreps,Total Items,123.00
Other Riboflavine (B2) Preps,Total Items,1718.00
Other Pyridoxine Hydrochloride(B6)Preps,Total Items,117.00
Other Purified Water Preps,Total Items,8328.00
Other Psoriasis Preps,Total Items,7045.00
Other Preparations For Biliary Disorders,Total Items,119.00
Other Preparations,Total Items,16353.00
Other Phosphate Supplement Preps,Total Items,13377.00
Other Parasiticidal Preps,Total Items,52.00
Other Pantothenic Acid Preps,Total Items,18.00
Other Pancreatin Preps,Total Items,14.00
Other Otitis Externa Preps,Total Items,66.00
Other Oral Ulceration&Inflammation Preps,Total Items,66.00
Other Oral Iron Preps,Total Items,20642.00
Other Oil Preps,Total Items,18215.00
Other Non-Opioid Analgesic Preps,Total Items,443.00
Other Nicotinamide (B7) Preps,Total Items,492.00
Other Neuromus'ar Transmi'on Preps,Total Items,85.00
Other Nasal Infection Preps,Total Items,3.00
Other Multivitamin Preps,Total Items,814929.00
Other Mouth Wash Gargle&Dentifrice Preps,Total Items,1130.00
Other Miscellaneous Topical Preps,Total Items,261.00
Other Minor Cut & Abrasion Preps,Total Items,632.00
Other Mineral Formulation Preps,Total Items,43.00
Other Male Sex Hormone&Antagonist Preps,Total Items,60.00
Other Magnesium Preps,Total Items,4757.00
Other Lozenge & Spray Preps,Total Items,12.00
Other Lipid-Regulating Preps,Total Items,1.00
Other Kelp Preps,Total Items,6.00
Other Intravenous Nutrition Preps,Total Items,4.00
Other Individually Form Bought In Preps,Total Items,217293.00
Other Individ Form Prepared Extemp Preps,Total Items,10.00
Other Hypnotic Preps,Total Items,501.00
Other Household & Over The Counter Preps,Total Items,37.00
Other Homeopathic Preps,Total Items,8822.00
Other HIV Infection Preps,Total Items,114.00
Other Health Supplement Preps,Total Items,65189.00
Other Glandular Preps,Total Items,217.00
Other Gas Preps,Total Items,5.00
Other Food Preps,Total Items,167270.00
Other Food For Special Diet Preps,Total Items,1248052.00
Other Eye Tear/Lubricant/AstringentPreps,Total Items,71855.00
Other Extract Preps,Total Items,8.00
Other Expectorant& Demulcent Cough Preps,Total Items,257.00
Other Erectile Dysfunction Preps,Total Items,55.00
Other Enzyme Preps 0911020,Total Items,74554.00
Other Emollient Preps,Total Items,9258747.00
Other Eczema Preps,Total Items,1402.00
Other Dusting Powder Preps,Total Items,2283.00
Other Disinfect Preserv&SterilisingPreps,Total Items,25.00
Other Digestive Aid Preps,Total Items,20721.00
Other Cordial/Soft Drink Preps,Total Items,5886.00
Other Concentrated Water Preps,Total Items,2093.00
Other Comp Vit/Mineral Formulation Preps,Total Items,359637.00
Other Colour  Flavour & Sweetening Preps,Total Items,43.00
Other Chromium Preps,Total Items,26.00
Other Camouflage Preps,Total Items,50588.00
Other Calcium Supplement Preps,Total Items,31535.00
Other Bitter & Tonic Preps,Total Items,1.00
Other Bisphosphonate & Other Preps,Total Items,919.00
Other Base/Dil/SuspAgent/StabiliserPreps,Total Items,540932.00
Other Barrier Preps,Total Items,99696.00
Other Aural Preparations,Total Items,24.00
Other Aromatic Inhalation Preps,Total Items,134.00
Other Appliances,Total Items,9770269.00
Other Antiviral Preps,Total Items,335.00
Other Antiperspirant Preps,Total Items,144.00
Other Anti-Inflammatory Preps,Total Items,2782.00
Other Amino Acid&Nutritional Agent Preps,Total Items,9805.00
Other Alcohol  Wine & Spirit Preps,Total Items,20.00
Other Alcohol & Saline Preps,Total Items,13.00
Other Acid Preps,Total Items,11.00
Oseltamivir Phosphate,Total Items,8145.00
Orphenadrine Hydrochloride,Total Items,61687.00
Orlistat,Total Items,482911.00
Orciprenaline Sulfate,Total Items,2.00
Oral Rehydration Salts,Total Items,460962.00
Oral Film Forming Agents,Total Items,16670.00
Opium & Morphine,Total Items,4512.00
Ondansetron Hydrochloride,Total Items,141923.00
Omeprazole,Total Items,29992973.00
Omega-3-Acid Ethyl Esters,Total Items,250762.00
Omega-3 Marine Triglycerides,Total Items,142.00
Omalizumab,Total Items,77.00
Olsalazine Sodium,Total Items,14814.00
Olopatadine,Total Items,138518.00
Olodaterol,Total Items,867.00
Olmesartan Medoxomil/Hydrochlorothiazide,Total Items,22565.00
Olmesartan Medoxomil/Amlodipine,Total Items,18400.00
Olmesartan Medoxomil,Total Items,572946.00
Olmesartan Medox/Amlodipine/Hydchloroth,Total Items,6123.00
Olanzapine Embonate,Total Items,122.00
Olanzapine,Total Items,2181491.00
Oils For The Ear,Total Items,56545.00
Ofloxacin,Total Items,57458.00
Oestrogens Conjugated with Progestogen,Total Items,209902.00
Oestrogens Conjugated,Total Items,226741.00
Octreotide Acetate,Total Items,12386.00
Nystatin,Total Items,752426.00
Nortriptyline,Total Items,570694.00
Normal Immunoglobulin (Gamma Globulin),Total Items,146.00
Norfloxacin,Total Items,130.00
Norethisterone Enantate,Total Items,376.00
Norethisterone,Total Items,955811.00
Nonoxinol 9,Total Items,3138.00
Nizatidine,Total Items,35531.00
Nitrous Oxide,Total Items,96.00
Nitrofurantoin,Total Items,2344575.00
Nitrazepam,Total Items,657098.00
Nitisinone,Total Items,17.00
Nitazoxanide,Total Items,2.00
Nintedanib,Total Items,1.00
Nimodipine,Total Items,906.00
Nilotinib,Total Items,10.00
Night Drainage Bags,Total Items,846305.00
Nifedipine,Total Items,2222084.00
Nicotinic Acid/Laropiprant,Total Items,8.00
Nicotinic Acid Derivatives,Total Items,4207.00
Nicotinic Acid,Total Items,36.00
Nicotine Bitartrate,Total Items,7967.00
Nicotine,Total Items,655215.00
Nicotinates,Total Items,17308.00
Nicotinamide,Total Items,7162.00
Nicorandil,Total Items,2007603.00
Nicardipine Hydrochloride,Total Items,34212.00
Nevirapine,Total Items,19.00
Nepafenac,Total Items,8578.00
Neostigmine Metilsulfate,Total Items,6.00
Neostigmine Bromide,Total Items,930.00
Neomycin Sulfate,Total Items,436875.00
Nefopam Hydrochloride,Total Items,478872.00
Nefazodone Hydrochloride,Total Items,172.00
Nedocromil Sodium,Total Items,188917.00
Nebivolol,Total Items,546143.00
Nateglinide,Total Items,13459.00
Nasal Products,Total Items,487864.00
Naratriptan Hydrochloride,Total Items,166645.00
Naproxen Sodium,Total Items,5.00
Naproxen,Total Items,7548608.00
Naphazoline Hydrochloride,Total Items,1535.00
Nandrolone Decanoate,Total Items,133.00
