Rank,SB Score,Rating,User,Subscribers,Video Views
66,8556,B+,Realm Games,2810819,1374569611
67,2428,B+,Rfm VS Games,1089565,1288343168
68,1392,A-,MrLololoshka (?????…,4843019,1238872538
69,1033,A-,????????????????!!…,1461258,1231461507
70,660,A,??????(???????)…,714594,1228983708
71,2882,B+,Blitzwinger,1494868,1227327034
72,1777,A-,?? ???,1770924,1215706282
73,298,A,NDNG - Enes Batur,3288200,1195708524
74,1135,A-,DashieGames,3474189,1190394519
75,1331,A-,sTaXxCraft,6050911,1166631897
76,501,A,????,1533558,1134133095
77,2620,B+,JeromeASF,4631561,1122072738
78,2343,B+,Aphmau,2591909,1113780730
79,3840,B+,YouAlwaysWin,2264086,1105624500
80,1447,A-,DILLERON ? Play,2477531,1092370822
81,267,A,?? TV,1597680,1093257239
82,2117,B+,Insanegaz,1068559,1068331605
83,1056,A-,M3RKMUS1C,3377620,1056355832
84,3203,B+,OfficialNerdCubed,2541151,1052681106
85,590,A,???? / PockySweets,1314279,1053656978
86,824,A,Kuplinov ? Play,2940686,1050171862
87,807,A,Slogoman,3275174,1045013296
88,1076,A-,luzugames,6479265,1044158789
89,1403,A-,The Game Theorists,7850721,1040959677
90,1860,A-,CasalDeNerd,3862176,1034457012
91,3353,B+,aLexBY11,6593009,1025986329
92,1544,A-,videogamedunkey,3209334,1001572050
93,4043,B+,Cinemassacre,2226470,984894134
94,496,A,zbing z.,2845740,983364964
95,3833,B+,ScrewAttack!,3321294,978765198
96,2327,B+,HappyTown - LeTSPLaySHiK,2920774,975991516
97,730,A,Typical Gamer,4555109,975301060
98,927,A,LDShadowLady,2873658,969027778
99,19091,B,Call of Duty,4728200,964827733
100,5820,B+,VenomExtreme,5933195,957575777
101,1306,A-,MM7Games,2638737,957917708
102,3208,B+,LeafyIsHere,4466994,934275644
103,1300,A-,TheGrefg,3761508,934242320
104,1116,A-,GermanLetsPlay,2278910,933799765
105,999,A,Clash of Clans,7792882,928357945
106,2222,B+,Domtendo,759417,917305353
107,6771,B+,chuggaaconroy,1117171,900120082
108,1926,A-,Vikkstar123,3773060,895847145
109,1107,A-,Paluten,2048583,895307641
110,25299,B,videogames,3442630,877266490
111,1072,A-,Little Kelly Minecraft,1826602,875580701
112,1673,A-,IULITM,1019848,861045282
113,818,A,St3pNy,2344467,860862165
114,1944,A-,KjraGaming,722306,843953184
115,1580,A-,MR.HEART ROCKER,3118795,835907659
116,8285,B+,cobanermani456,1169048,835033423
117,1154,A-,BrawlBRSTMs3 X,235482,832232843
118,1689,A-,Siphano,2036940,828431979
119,3915,B+,GTA Series Videos,1621876,826903977
120,15855,B,"TotalBiscuit, The Cynical Brit",2256317,809265585
121,2564,B+,sTaXx,4637092,808195993
122,1979,A-,BRKsEDU,5243114,808878886
123,4563,B+,Vikkstar123HD,2899487,805322756
124,970,A,Folagor03,1830256,784387784
125,2384,B+,SirKazzio,4035079,779197778
126,5455,B+,Ubisoft,2119805,777327139
127,3211,B+,GameNewsOfficial,865197,763501200
128,45200,B,SSoHPKC,1275499,762926328
129,19942,B,TmarTn,3252442,747380632
130,4137,B+,SkinSpotlights,1393818,742530095
131,1074,A-,EthanGamer,1399618,740258351
132,1996,A-,Jove,2631826,731312966
133,3365,B+,XpertThief,3162643,729521051
134,1848,A-,MoreAliA,4487180,729153558
135,418,A,FaZe Rug,4560772,725967620
136,2967,B+,Burak Oyunda,2424968,717420459
137,3356,B+,Lachlan,3029033,711610166
138,3034,B+,????TV (buzzbean11),1497012,699596099
139,33823,B,MahaloVideoGames,413669,694798092
140,1351,A-,Thinknoodles,2057763,693483001
141,1451,A-,??????/Gaming Kazu,993724,692858526
142,9876,B+,WhiteBoy7thst,2548957,689230279
143,4897,B+,Sarinha,2767844,685402312
144,1495,A-,TheGamingBeaver,1045361,678591887
145,11314,B,KSIOlajidebtHD,4813421,677565062
146,4072,B+,Gona89,2431266,677015822
147,4843,B+,lzuniy,865596,675123083
148,369,A,Nintendo,2537280,670958721
149,6977,B+,GhostRobo,1810523,663779462
150,6397,B+,FRANKIEonPC,3492196,663547645
151,6392,B+,????,360246,663236441
152,1680,A-,Dota Watafak,2179264,662699133
153,18161,B,DotaCinema,1400897,659763629
154,2459,B+,TmarTn2,2172484,658253186
155,967,A,TheAlvaro845 - Clash Royale - Clash…,2759777,651571776
156,1052,A-,LipaoGamer,2834263,648989822
157,2802,B+,Godson - Clash Gaming,1900558,647874512
158,977,A,iGameplay1337,586426,647329927
159,680,A,?? TV,837846,645058714
160,2609,B+,Daithi De Nogla,5091758,642913756
161,1355,A-,gameranx,3198454,642585841
162,3493,B+,AngryJoeShow,2739651,638945187
163,4143,B+,World of Tanks.…,2574746,637442948
164,1293,A-,DroidCheat,724350,638046179
165,875,A,EugeneSagaz,1995085,636233411
166,1842,A-,rewinside,1893908,635363557
167,2836,B+,RusGameTactics,1736118,634761737
168,6338,B+,Vietnam Esports TV,1488443,632818332
169,658,A,????,588378,632546463
170,2689,B+,Typhoon Cinema,1659750,629399312
171,8890,B+,EthosLab,1915422,629052814
172,4136,B+,TouchGameplay,573952,628716565
173,4920,B+,TetraNinja,1484413,628471962
174,1929,A-,SSSniperWolf,4745170,628449080
175,2782,B+,ilvostrocaroDexter,2081752,627413577
176,5244,B+,CriousGamers (Chilled Chaos),1320642,625866656
177,30816,B,????????TV,722664,624679521
178,5944,B+,MattHDGamer,2057167,622379930
179,990,A,LaSalle,1735749,622703361
180,8332,B+,HelldogMadness,1433602,617615010
181,4787,B+,Mini Ladd,3796407,617373719
182,1343,A-,??,839523,615640057
183,4345,B+,Brofresco,1656821,611026758
184,1757,A-,Le Bled'Art,2284955,610800594
185,778,A,ElChurches,2894582,609515201
186,4102,B+,outsidexbox,1943374,605763758
187,930,A,perpetuumworld,1303763,602361917
188,1596,A-,Annoying Orange Gaming,956606,599945794
189,10921,B,LoL Esports,2212329,596712211
190,8522,B+,Hikaru Games,448151,591740384
191,1547,A-,SurreaIPower,1719619,592131984
192,12183,B,Sips,1912263,590677264
193,18669,B,AntVenom,2410145,588918838
194,6153,B+,FantaBobGames,1736076,585539505
195,7425,B+,TCTNGaming,1131030,583234930
196,1517,A-,Amway921WOT,1437461,581241153
197,8407,B+,CyprienGaming,4296067,577253931
198,2869,B+,Oyun Portal,1481827,576795755
199,2180,B+,Jazzghost,3400420,575699072
200,2260,B+,deathmule,660981,574298168
201,2193,B+,CiccioGamer89,1770824,570290290
202,1513,A-,DjMaRiiO,2158471,565807385
203,1692,A-,?? ???,1160461,565069740
204,229,A,Denis,1681185,564535147
205,4067,B+,Exetrize,1980928,561605336
206,5962,B+,TV ??,257194,555929353
207,31118,B,TheMediaCows,719674,554066859
208,3436,B+,I AM WILDCAT,4917455,552142728
209,6218,B+,World of Longplays,514979,549911939
210,10733,B,Duncan,1896185,546804332
211,1624,A-,GameSprout,1797294,547498276
212,4119,B+,DeiGamer,2248934,546845795
213,1044,A-,Humberto Contreras,654270,546551819
214,2750,B+,Oyun Delisi,1892532,544199225
215,2312,B+,GameXplain,756335,543532770
216,2876,B+,TeranitGame,1297743,541788818
217,5111,B+,BCC Trolling,2780654,540125165
218,13876,B,TheGamingLemon,3565197,537352139
219,5615,B+,NoahJ456,2775994,535780393
220,8052,B+,Samgladiator,1462829,534507234
221,6489,B+,Sparkles ? #1 Gaming - CSGO &…,1880041,534316619
222,12322,B,Fer0m0nas,3250526,531904934
223,2877,B+,FaZe Jev,2231592,531354070
224,10254,B,FullHDvideos4me,467100,530822244
225,13501,B,Sjin,1944525,529158394
226,2986,B+,ToonFirst.com,629795,529358975
227,2166,B+,?????,795301,527696582
228,3690,B+,SerbianGamesBL,647636,525963037
229,820,A,nickatnyte,2114783,526190222
230,3770,B+,Chief Pat - Clash Royale,2229942,522379748
231,82101,B,ChimneySwift11,1839558,521759296
232,1008,A-,?? TV,982348,522022195
233,7045,B+,Instalok,1359839,520365674
234,665,A,Coffi Channel,2087114,518762382
235,5005,B+,MasterOv,2409719,514983630
236,5881,B+,BereghostGames,805581,514419796
237,8056,B+,CinnamonToastKen,2856326,513162610
238,3185,B+,DILLERON ?,1659025,512365775
239,17882,B,Lui Calibre,4847584,509387274
240,1951,A-,Xbox,1857136,509292877
241,12734,B,EA SPORTS FIFA,2490318,508111017
242,2311,B+,MessYourself,2460843,508371208
243,84289,B,WorldGamingShows,635135,507726598
244,26100,B,ungespielt,2060190,505795711
245,6329,B+,Escapist,962838,504565932
246,18268,B,Sarazar,1970993,498418483
247,3404,B+,Northernlion,733686,498432552
248,5077,B+,??? TV,837730,498132910
249,28952,B,SethBling,1909255,493663449
250,4558,B+,stacyplays,1459119,491876192
251,543,A,Gamer Chad,945918,492843531
252,3824,B+,GameStar,824878,491772116
253,7979,B+,GameChap,675527,490386476
254,1177,A-,Muselk,1702995,488571739
255,15719,B,HikePlays,2070273,486350624
256,142827,B-,HuskyStarcraft,837206,485462446
257,3172,B+,BowserBikeJustDance,295646,485355387
258,1218,A-,Nightblue3,1745505,482784599
259,10565,B,paulsoaresjr,1463565,481366783
260,7307,B+,LaGGeR,1924199,479077508
261,1797,A-,Funhaus,1100556,476490135
262,183636,B-,AtheneWins,719710,475307759
263,9457,B+,OpTic Pamaj,2923564,473434879
264,1302,A-,MaxINFINITE,887055,473798576
265,1807,A-,Game of War: Fire Age,62913,469924341
266,5536,B+,d7oomy_999 | ????????,2853228,469092419
267,3026,B+,Kripparrian,883671,468958858
268,4338,B+,Spencer FC,1819531,467082031
269,5765,B+,Luh,1989120,466100567
270,6320,B+,alexelcapo,1296030,465731253
271,12633,B,GommeHD,1535647,465216074
272,2738,B+,SkizzTV,2248625,464009610
273,1893,A-,??? [VyacheslavOO],1825413,464390443
274,900,A,PlayCow.com,430341,463645612
275,3637,B+,MKIceAndFire,724669,461671354
276,1768,A-,GAMINGwithMOLT,2189010,461520846
277,1334,A-,Furious Jumper,1312826,459432715
278,4673,B+,IsAmUxPompa,1558888,457926448
279,5630,B+,Aypierre,1416640,455499789
280,7087,B+,Joueur Du Grenier,2821907,453745243
281,4337,B+,LevelCapGaming,1724209,451475438
282,5287,B+,Frigiel,1601386,451406888
283,4120,B+,jackfrags,2141292,451429503
284,8191,B+,funkyblackcat,2114236,449762153
285,5074,B+,TheSw1tcher,651419,448303758
286,4697,B+,NoobFromUA,654085,447765410
287,8757,B+,Sp4zie,1092346,447443915
288,20825,B,TeamMojang,1786509,445779494
289,549,A,Clash of Kings,57348,445511688
290,3267,B+,TWOSYNC,1312209,443048201
291,2643,B+,????????2 (hajime),1747768,443047636
292,9896,B+,RajmanGaming HD,486967,440682764
293,4283,B+,KYRSP33DY,2302159,439293189
294,1272,A-,Games EduUu,1889114,437051457
295,5302,B+,consolesejogosbrasil,1448890,435336800
296,5309,B+,MrBossFTW,1700599,433245025
297,11760,B,SuperEvgexa,2283683,432645026
298,85294,B,xXSlyFoxHoundXx,1274361,431861680
299,1335,A-,WiiFer0iiz,2553242,431029033
300,1621,A-,JMX,2097691,427998659
301,24426,B,FaZe Clan,4379038,427325614
302,2047,B+,Filipin is bro,2177728,427461893
303,2027,B+,MattShea,1543666,426784596
304,1270,A-,CoryxKenshin,1389168,426258697
305,5764,B+,CooLifeGame,1129409,425496999
306,4231,B+,Bay Riffer,1917899,423007822
307,13385,B,VintageBeef,1249904,421021174
308,12981109,D,DagelijksHaaDee,941564,421038254
309,25463,B,Bodil40,1918456,420347397
310,4809,B+,penguinz0,1685772,419580491
311,4232,B+,jvnq,2203881,418312894
312,632,A,Fran MG,1231536,419052527
313,4008,B+,ZoominGames,983415,416303197
314,27640,B,GassyMexican,1493385,415130132
315,3071,B+,Arazhul,933047,415364360
316,13387,B,Jesse Cox,913437,414697508
317,2511,B+,ZerkaaPlays,1555292,414976247
318,10131,B,GoGoManTV,1538610,414478687
319,21802,B,AviatorGaming,1348959,414356606
320,3772,B+,ChrisMD,3016378,412920386
321,41391,B,TrueMU - Minecraft Universe,2806269,412603277
322,3199,B+,lele,3436414,412741947
323,14673,B,WiiLikeToPlay,535704,411523680
324,5388,B+,Zangado,3509283,411502424
325,18699,B,Egoraptor,2599132,410626635
326,4828,B+,The Official Pokémon YouTube…,2075939,410298242
327,2398,B+,Throneful,428546,408992870
328,13547,B,Cryaotic,2665580,407155645
329,3023,B+,JonTronShow,3115144,407155183
330,2788,B+,Chaosflo44,812505,407075718
331,3337,B+,Prestige Clips,2559049,406563111
332,5997,B+,MrEdxwx,436185,405046801
333,7675,B+,TheRelaxingEnd,1353954,403473354
334,4074,B+,Little Carly Minecraft,1053335,403462802
335,4320,B+,MrUnfiny,1783066,403041802
336,7100,B+,NepentheZ,1466974,402108625
337,22891,B,lonniedos,787860,399629486
338,8483,B+,876TV,580006,398182103
339,9776,B+,MrDalekJD,1601362,397342766
340,5291,B+,LPmitKev,1314735,397065630
341,3759,B+,KilooGames,2010038,396551066
342,2018,B+,Mandzio,1442537,393255031
343,7413,B+,Gizzy Gazza,1420849,392222500
344,4240,B+,Zombey,1335122,391677042
345,11215,B,????? | ShurikWorld,1216823,391444445
346,4441,B+,MagmaMusen,1682002,390302777
347,5818,B+,Jannine Weigel,2106760,390245527
348,1530,A-,DannyJesden,954411,390518934
349,1707,A-,?????,1876565,389614235
350,10385,B,Vilhena,3276880,389044715
351,2273,B+,Gimper,1108276,387742656
352,8237,B+,Trump,739261,387305514
353,19511,B,MrWoofless,1797969,386188245
354,3596,B+,izak LIVE,1340788,386336464
355,9209,B+,????????,310449,386064505
356,2892,B+,Crainer,2258787,386196332
357,1407,A-,Mr.Freeze ?,1378177,383687393
358,38156,B,Na`Vi.Dota 2,1203447,381866924
359,39929,B,DSPGaming,186976,381649398
360,95609,B,CanalDoMonark,3292099,381377695
361,8682,B+,Scumperjumper,2152399,381308613
362,5123,B+,Toys Games TV,286714,381096413
363,4056,B+,Sl1pg8r - Daily Stuff and Things!,1266625,381055229
364,9257,B+,TerrorBionic,2446622,379922939
365,16299,B,swiftor,2238030,379802366
366,400,A,UnspeakableGaming,2026739,378251855
367,9941,B+,Remigiusz Maciaszek,1209519,373850625
368,6141,B+,SpeirsTheAmazingHD,1310547,370971001
369,16291,B,[tackle4826] - Tackle Minecraft,1065156,369380165
370,12642,B,MxR Mods,1525360,369014128
371,6904,B+,XboxAddictionz,2473721,367826487
372,10169,B,Robbaz,1451236,367073344
373,129191,B-,machinimarespawn,2615299,366411140
374,2274,B+,???,761285,366441994
375,3662,B+,Node,1936411,365836021
376,18336,B,TOP BEST APPS FOR KIDS,434290,364359531
377,3279,B+,Calfreezy,2899023,363933712
378,7592,B+,gocalibergaming,343230,363721177
379,11381,B,MunchingOrange,1081843,363530123
380,67507,B,Siv HD,2042434,363219540
381,964,A,Afreim,3017030,365152536
382,8847,B+,lisbug,2086387,361982659
383,4322,B+,ElectronicDesireGE,1884178,362289165
384,18060,B,Zerkaa,2627781,361394349
385,7274,B+,TeamGarryMovieThai,1392168,361486363
386,5932,B+,dlive22891,993854,361036895
387,4860,B+,plagasRZ - ?????????…,613447,360891980
388,27651,B,TheFantasio974,1662729,358058914
389,7298,B+,Joey Graceffa,2095270,357446771
390,3005,B+,malena010102,3291963,357646109
391,5480,B+,CYRIL /SUPERKONAR,2137343,357139959
392,17879,B,FaZe Blaziken,2673481,352036505
393,49543,B,HassanAlHajry,465593,349087412
394,34323,B,Battlefield,2035800,348203942
395,8773,B+,Fir4sGamer,1519002,346544926
396,6501,B+,NISLT,599201,345939561
397,492,A,Clash Royale,1418438,345914181
398,1994,A-,Quantum Games,1711759,343793776
399,2211,B+,iRaphahell,908711,343538913
400,11340,B,Hat Films,887844,342055345
401,12044,B,Bulkin,1210754,341664696
402,681,A,Apixelados - Minecraft troll,1301484,342789841
403,86006,B,Keyori,881556,340127614
404,28462,B,gagatunFeed,1204201,339665487
405,10699,B,TotalArmy,882489,339142730
406,6949,B+,Redmercy,1148891,339249745
407,5438,B+,TheSLAPTrain,1445649,338656901
408,1779,A-,BIBI,3112977,339286510
409,16775,B,Keralis,1754521,337119141
410,168486,B-,NGTZombies,1208448,336980449
411,4326,B+,????? ?? ?,441623,336431871
412,6678,B+,????,1091176,335932603
413,4609,B+,WoT Fan - ??????????? ?…,802435,334070955
414,4172,B+,Cam Sucks at Gaming,1568290,332075850
415,154920,B-,Minnesota Burns,1955437,331330352
416,47023,B,NintendoCapriSun,407535,331221765
417,2792,B+,GamingWithJen,2681887,331267564
418,20108,B,Plants vs. Zombies,556418,330049799
419,12442,B,chaosxsilencer,1393126,330035326
420,6363,B+,TheSmithPlays,1377774,328659595
421,8197,B+,guilhermeoss,731810,327807274
422,12180,B,DidYouKnowGaming?,2094214,327398967
423,5850,B+,Jaidefinichon GOTH,1209562,327249887
424,13833,B,SkyVSGaming,1512077,326385025
425,3184,B+,Mudja,802475,326435478
426,1856,A-,?????,380193,326467495
427,889,A,Julia MineGirl,944496,326853785
428,7595,B+,WhyBeAre,692897,324412563
429,4664,B+,J0k3ROfficialTube,1247426,324242199
430,5318,B+,AA9skillz,1432948,323783596
431,3186,B+,MYSTIC7,1428330,323759859
432,13162,B,MagdalenaMariaMonika,888257,323402472
433,3807,B+,Kubz Scouts,1338677,322046818
434,68694,B,Josemicod5,1566254,321208552
435,1418,A-,ShadowPriestok,1369152,321198997
436,40482,B,kootra,949179,320199075
437,29179,B,Rockstar Games,3209600,320151896
438,2185,B+,DSimphony,783918,320738665
439,17521,B,Gameloft,641933,320059860
440,919,A,EdisonPts,1614085,319115706
441,25334,B,TOM SHUFFLE,1018440,317793788
442,11050,B,NintendoMovies,269324,317070637
443,33297,B,DusDavidGames,701625,316497043
444,3804,B+,Felps,1788104,316909453
445,8445,B+,SAH4R SHOW,2382449,316478327
446,3514,B+,???????????,386073,315679909
447,38357,B,YOGSCAST Hannah,1325722,314709266
448,13963,B,jamonymow,247080,314705612
449,4145,B+,CRYSTAL,735586,314527914
450,10558,B,SparkofPhoenix,949367,314467677
451,3245,B+,Hueva,1992005,315018909
452,2323,B+,Pyrocynical,1667802,314691781
453,1620,A-,ItsJerryAndHarry,1328110,314743270
454,3740,B+,Febatista,1865585,314135717
455,8638,B+,GONTH,1703603,312931006
456,4813,B+,BasicallyIDoWrk,2870169,310063922
457,6438,B+,PokeR988TV,1329238,309460773
458,1686122,C+,AdvertisingMZ,9582,309091356
459,3033,B+,Mumbo Jumbo,1469065,309252941
460,2944,B+,Achievement Hunter,1258943,309111013
461,4004,B+,Draegast,1225545,308263165
462,8604,B+,Logdotzip,1395186,307293423
463,25236,B,eguri89games,729970,307175886
464,4330,B+,Yarasky,523261,307114883
465,10662,B,????? ?????,1577346,306593752
466,37346,B,GoldGloveTV,1349489,306060274
467,12892,B,Luna,1573636,305676738
468,4400,B+,Saudi Gamer - ????? ????,1833283,305630106
469,5174,B+,SeikinGames,958556,305963037
470,2740,B+,DanAndPhilGAMES,2722713,306050585
471,4499,B+,GameMeneer,716205,304350840
472,48126,B,Protatomonster,1104742,304112244
473,4152,B+,???????,928023,304226150
474,35153,B,GTAmissions,464951,303907520
475,20555,B,IGM,1483762,303396185
476,11267,B,ChaBoyyHD,1721941,303275878
477,38982,B,yamimash,1388909,301142032
478,1456,A-,JT Machinima,999251,301419597
479,17427,B,ZaziNombies LEGO Creations,1099916,299379003
480,3611,B+,CBGames,809209,299514333
481,3177,B+,AJ3,1209291,298600504
482,4318,B+,Mrmobilefanboy,686139,298661019
483,6225,B+,Galadon Gaming,1310238,297725392
484,4446,B+,The Know,1145910,297940411
485,29901,B,Jumbo,1783033,297047373
486,28235,B,CavemanFilms,1476457,296745476
487,180771,B-,BenderChat,1480920,296517249
488,10485967,D+,???????…,286506,295595881
489,679810,C+,Jumpinthepack,716792,295171736
490,91114,B,GamerSpawn,239859,295181747
491,3329,B+,WhenGamersFail ? Lyon,759281,295535676
492,51032,B,BdoubleO100,1163192,294814581
493,15848,B,Lugin,2212331,293883150
494,1604,A-,LispyJimmy,2369012,293546719
495,3179,B+,Mr. Fruit Gaming Channel,935695,292664963
496,1480,A-,Zombie V4 [ Ti?n Xinh Trai ],631938,291832867
497,4052,B+,Lost Pause,977955,290671138
498,9712,B+,Maximilian Dood,586787,290005793
499,42566,B,AngryBirdsNest,144382,289307913
500,3327,B+,KillerCreeper55 - Minecraft,1811164,289528694
